dataset initializing start
dataset initializing done
The model has 103,581,959 trainable parameters
step : 0.0 % , loss : 11.758070945739746
step : 1.2 % , loss : 6.776190757751465
step : 2.4 % , loss : 6.444389343261719
step : 3.6 % , loss : 6.947811126708984
step : 4.81 % , loss : 6.978232383728027
step : 6.01 % , loss : 6.57463264465332
step : 7.21 % , loss : 6.833890914916992
step : 8.41 % , loss : 6.275373458862305
step : 9.61 % , loss : 6.133696556091309
step : 10.81 % , loss : 6.094348907470703
step : 12.01 % , loss : 6.330794811248779
step : 13.22 % , loss : 6.132328510284424
step : 14.42 % , loss : 6.2411065101623535
step : 15.62 % , loss : 6.376254558563232
step : 16.82 % , loss : 6.7144341468811035
step : 18.02 % , loss : 6.464315414428711
step : 19.22 % , loss : 6.340241432189941
step : 20.43 % , loss : 6.465837478637695
step : 21.63 % , loss : 6.080603122711182
step : 22.83 % , loss : 6.502330780029297
step : 24.03 % , loss : 6.688673496246338
step : 25.23 % , loss : 6.500570774078369
step : 26.43 % , loss : 6.409633159637451
step : 27.63 % , loss : 6.5635085105896
step : 28.84 % , loss : 6.424524307250977
step : 30.04 % , loss : 6.86157751083374
step : 31.24 % , loss : 6.602668762207031
step : 32.44 % , loss : 6.404449939727783
step : 33.64 % , loss : 6.242933750152588
step : 34.84 % , loss : 6.454087257385254
step : 36.04 % , loss : 6.0504231452941895
step : 37.25 % , loss : 6.193581581115723
step : 38.45 % , loss : 6.316920280456543
step : 39.65 % , loss : 6.514739990234375
step : 40.85 % , loss : 6.323262691497803
step : 42.05 % , loss : 6.597710132598877
step : 43.25 % , loss : 6.096805572509766
step : 44.46 % , loss : 6.603516101837158
step : 45.66 % , loss : 6.511427879333496
step : 46.86 % , loss : 6.282851696014404
step : 48.06 % , loss : 6.255806922912598
step : 49.26 % , loss : 6.667144775390625
step : 50.46 % , loss : 6.254393577575684
step : 51.66 % , loss : 6.369466304779053
step : 52.87 % , loss : 6.667411804199219
step : 54.07 % , loss : 6.562234878540039
step : 55.27 % , loss : 6.702415943145752
step : 56.47 % , loss : 6.127948760986328
step : 57.67 % , loss : 6.416089057922363
step : 58.87 % , loss : 6.627610683441162
step : 60.07 % , loss : 6.118659496307373
step : 61.28 % , loss : 6.290302276611328
step : 62.48 % , loss : 6.316554069519043
step : 63.68 % , loss : 6.512931823730469
step : 64.88 % , loss : 6.399529933929443
step : 66.08 % , loss : 6.277646064758301
step : 67.28 % , loss : 6.893177032470703
step : 68.48 % , loss : 6.366182327270508
step : 69.69 % , loss : 6.2057671546936035
step : 70.89 % , loss : 6.521985054016113
step : 72.09 % , loss : 6.606727123260498
step : 73.29 % , loss : 6.350078582763672
step : 74.49 % , loss : 6.985558986663818
step : 75.69 % , loss : 6.312257766723633
step : 76.9 % , loss : 6.265436172485352
step : 78.1 % , loss : 6.2901811599731445
step : 79.3 % , loss : 6.535031795501709
step : 80.5 % , loss : 6.355277061462402
step : 81.7 % , loss : 6.6972808837890625
step : 82.9 % , loss : 6.4241719245910645
step : 84.1 % , loss : 6.435061454772949
step : 85.31 % , loss : 6.385727882385254
step : 86.51 % , loss : 7.0386433601379395
step : 87.71 % , loss : 6.824590682983398
step : 88.91 % , loss : 6.547206878662109
step : 90.11 % , loss : 6.486147403717041
step : 91.31 % , loss : 6.236034393310547
step : 92.51 % , loss : 6.757659912109375
step : 93.72 % , loss : 6.584725856781006
step : 94.92 % , loss : 5.879654884338379
step : 96.12 % , loss : 6.324872016906738
step : 97.32 % , loss : 6.14401388168335
step : 98.52 % , loss : 6.398619174957275
step : 99.72 % , loss : 6.428647518157959
Epoch: 1
Epoch time : 0.6314072332779567hrs
	Train Loss: 6.454 | Train PPL: 635.471
	Val Loss: 6.315 |  Val PPL: 552.863
	BLEU Score: 0.000
step : 0.0 % , loss : 6.1832756996154785
step : 1.2 % , loss : 6.261901378631592
step : 2.4 % , loss : 6.329012393951416
step : 3.6 % , loss : 6.625181198120117
step : 4.81 % , loss : 6.14759635925293
step : 6.01 % , loss : 6.428620338439941
step : 7.21 % , loss : 6.495283603668213
step : 8.41 % , loss : 5.928101539611816
step : 9.61 % , loss : 6.883681774139404
step : 10.81 % , loss : 6.740020751953125
step : 12.01 % , loss : 6.901661396026611
step : 13.22 % , loss : 6.702164173126221
step : 14.42 % , loss : 6.429100513458252
step : 15.62 % , loss : 6.264255046844482
step : 16.82 % , loss : 9.567805290222168
step : 18.02 % , loss : 7.0134992599487305
step : 19.22 % , loss : 6.522670269012451
step : 20.43 % , loss : 6.278289794921875
step : 21.63 % , loss : 6.135840892791748
step : 22.83 % , loss : 6.172164440155029
step : 24.03 % , loss : 6.818140029907227
step : 25.23 % , loss : 6.230174541473389
step : 26.43 % , loss : 5.949750900268555
step : 27.63 % , loss : 6.567525863647461
step : 28.84 % , loss : 6.301163673400879
step : 30.04 % , loss : 6.257594108581543
step : 31.24 % , loss : 6.72626256942749
step : 32.44 % , loss : 6.09891414642334
step : 33.64 % , loss : 6.816324710845947
step : 34.84 % , loss : 6.166503429412842
step : 36.04 % , loss : 6.262741565704346
step : 37.25 % , loss : 6.275600910186768
step : 38.45 % , loss : 6.4180192947387695
step : 39.65 % , loss : 6.595038890838623
step : 40.85 % , loss : 6.283379554748535
step : 42.05 % , loss : 6.634092807769775
step : 43.25 % , loss : 6.4223761558532715
step : 44.46 % , loss : 6.186671257019043
step : 45.66 % , loss : 6.624233722686768
step : 46.86 % , loss : 6.656394958496094
step : 48.06 % , loss : 6.441465377807617
step : 49.26 % , loss : 6.667574405670166
step : 50.46 % , loss : 6.204181671142578
step : 51.66 % , loss : 6.124145984649658
step : 52.87 % , loss : 6.3215012550354
step : 54.07 % , loss : 6.5542120933532715
step : 55.27 % , loss : 6.503856182098389
step : 56.47 % , loss : 6.414229869842529
step : 57.67 % , loss : 6.373539924621582
step : 58.87 % , loss : 6.182199954986572
step : 60.07 % , loss : 5.93751335144043
step : 61.28 % , loss : 6.339606285095215
step : 62.48 % , loss : 6.685654640197754
step : 63.68 % , loss : 6.024439334869385
step : 64.88 % , loss : 6.421819686889648
step : 66.08 % , loss : 6.575751781463623
step : 67.28 % , loss : 6.841439723968506
step : 68.48 % , loss : 6.575153350830078
step : 69.69 % , loss : 6.098841190338135
step : 70.89 % , loss : 6.36610746383667
step : 72.09 % , loss : 6.668323040008545
step : 73.29 % , loss : 6.243947505950928
step : 74.49 % , loss : 6.1731343269348145
step : 75.69 % , loss : 6.504226207733154
step : 76.9 % , loss : 5.9220404624938965
step : 78.1 % , loss : 6.770923137664795
step : 79.3 % , loss : 6.354484558105469
step : 80.5 % , loss : 6.658041954040527
step : 81.7 % , loss : 6.071619033813477
step : 82.9 % , loss : 6.1253204345703125
step : 84.1 % , loss : 6.2451019287109375
step : 85.31 % , loss : 6.2925543785095215
step : 86.51 % , loss : 7.001702785491943
step : 87.71 % , loss : 6.3468475341796875
step : 88.91 % , loss : 6.350679397583008
step : 90.11 % , loss : 6.299261093139648
step : 91.31 % , loss : 6.627182960510254
step : 92.51 % , loss : 6.48902702331543
step : 93.72 % , loss : 6.347274303436279
step : 94.92 % , loss : 6.358072280883789
step : 96.12 % , loss : 6.314974784851074
step : 97.32 % , loss : 6.493135929107666
step : 98.52 % , loss : 6.503810405731201
step : 99.72 % , loss : 6.742007255554199
Epoch: 2
Epoch time : 0.637143592039744hrs
	Train Loss: 6.426 | Train PPL: 617.724
	Val Loss: 6.318 |  Val PPL: 554.240
	BLEU Score: 0.000
step : 0.0 % , loss : 6.448648929595947
